epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.441,1.47592,3.22184,1.64652,0.59597,0.41339,0.40231,0.28349,1.61606,4.15371,1.75607,0.000331439,0.000331439,0.000331439
2,27.0767,1.49132,2.49346,1.63456,0.49725,0.42523,0.41699,0.285,1.7001,2.87381,1.85768,0.000658191,0.000658191,0.000658191
3,39.3438,1.48799,2.30831,1.63213,0.38782,0.4061,0.37351,0.25258,1.76293,3.00479,1.94504,0.000978344,0.000978344,0.000978344
4,51.7769,1.4914,2.20449,1.62402,0.46198,0.4062,0.39467,0.27111,1.6492,2.5082,1.76693,0.0009703,0.0009703,0.0009703
5,63.9081,1.44339,2.07559,1.58168,0.51426,0.48132,0.47634,0.32903,1.65369,2.3595,1.79849,0.0009604,0.0009604,0.0009604
6,76.0853,1.42426,1.9861,1.56789,0.57014,0.47001,0.49038,0.35476,1.55636,2.30754,1.71939,0.0009505,0.0009505,0.0009505
7,88.3804,1.38887,1.9137,1.53989,0.54512,0.49869,0.51453,0.36374,1.55372,2.14053,1.70182,0.0009406,0.0009406,0.0009406
8,100.587,1.36309,1.83107,1.52446,0.52635,0.50011,0.51249,0.37643,1.51024,2.12896,1.65347,0.0009307,0.0009307,0.0009307
9,112.995,1.35496,1.83049,1.51762,0.50148,0.51495,0.51388,0.38204,1.46496,2.09405,1.58558,0.0009208,0.0009208,0.0009208
10,125.454,1.31092,1.77481,1.48929,0.54176,0.53274,0.551,0.40856,1.45099,1.99175,1.61109,0.0009109,0.0009109,0.0009109
11,137.796,1.33031,1.74041,1.48751,0.64257,0.54057,0.57411,0.43576,1.40955,1.80672,1.54849,0.000901,0.000901,0.000901
12,150.266,1.28436,1.66828,1.47151,0.57997,0.57244,0.56585,0.41479,1.45606,1.85156,1.59424,0.0008911,0.0008911,0.0008911
13,162.654,1.28261,1.65142,1.46164,0.60788,0.54255,0.55605,0.42946,1.37945,1.88368,1.54365,0.0008812,0.0008812,0.0008812
14,175.214,1.26002,1.62325,1.44557,0.54835,0.57409,0.5691,0.4422,1.44301,1.88165,1.58676,0.0008713,0.0008713,0.0008713
